leak_area_number,ID,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
0,J-1,0.0694237,0.0838852,0.097393,0.110451,0.122807,0.134521,0.16431,0.185692,0.205963,0.226376,0.246834,0.267574,0.288643,0.310368,0.293713,0.282173,0.290546,0.314678,0.300465,0.299652,0.295784,0.292439,0.319645,0.366337,0.401524
0,J-169,0.130512,0.127205,0.125061,0.116783,0.121685,0.141888,-0.261341,-0.271225,-0.191193,-0.125835,-0.0678139,-0.0164642,0.0299149,0.07164,0.252541,0.141251,0.184246,0.204685,-0.00934219,0.0428581,0.0703278,0.0908852,0.103577,0.154003,0.191547
0,J-236,0.1992,0.186165,0.173698,0.153404,0.151352,-1.22815,-0.252403,-0.274078,-0.187439,-0.113213,-0.0475388,0.010273,0.0623398,0.109116,0.374512,0.213238,0.253521,0.277534,-0.0114746,0.0578423,0.0953751,0.120899,0.143658,0.201111,0.249786
0,J-247,0.13335,0.131203,0.129707,0.12122,0.126591,0.148357,-0.282352,-0.296936,-0.214241,-0.145157,-0.0835915,-0.0288887,0.0205688,0.0651588,0.26292,0.151546,0.193027,0.213032,-0.0146332,0.0402756,0.0691414,0.090313,0.104927,0.158554,0.197746
0,J-277,0.313667,0.280083,0.248322,0.213226,0.193253,-0.898651,-0.0980225,-0.0924377,-0.0146027,0.0474777,0.102135,0.151276,0.196922,0.240433,0.388191,0.218582,0.287338,-0.982941,0.0109482,0.0861664,0.119087,0.135406,0.220222,0.328499,0.401924
0,J-32,0.295807,0.267555,0.242683,0.212387,0.201263,-1.25048,-0.287621,-0.319084,-0.205765,-0.115135,-0.0358887,0.0335388,0.0960617,0.152573,0.76194,0.421051,0.503815,-1.19569,-0.0744171,0.0274582,0.0920105,0.131134,0.157776,0.217178,0.287399
0,J-33,0.26239,0.23679,0.214157,0.18615,0.177299,-1.20965,-0.240131,-0.256813,-0.156578,-0.0749664,-0.00404358,0.057724,0.113129,0.162643,0.521801,0.285217,0.333233,-1.12425,-0.0196037,0.0674667,0.115753,0.149174,0.170307,0.232475,0.291733
0,J-346,0.472107,0.445457,0.423943,0.401253,0.395409,-0.727512,0.0946121,0.108414,0.193214,0.25869,0.315926,0.366531,0.413002,0.456146,0.603371,0.490875,0.535133,0.556969,0.320518,0.397003,0.424286,0.436508,0.446449,0.526253,0.59182
0,J-347,0.523941,0.48658,0.455887,0.426281,0.415947,-0.686184,0.144791,0.180122,0.27684,0.346748,0.405991,0.457283,0.503922,0.546638,0.6511,0.518066,0.56942,0.594212,0.363724,0.43882,0.465508,0.478615,0.496849,0.580246,0.645027
0,J-396,0.248207,0.225632,0.204048,0.177864,0.165352,-0.948524,-0.142235,-0.144753,-0.0721054,-0.0124588,0.040947,0.0890579,0.133652,0.175873,0.328583,0.192993,0.265144,0.30352,0.00802612,0.0774612,0.0978241,0.115692,0.179413,0.275795,0.338852
0,J-397,0.214615,0.196442,0.180935,0.161106,0.155804,-1.186,-0.229595,-0.244976,-0.161758,-0.0934753,-0.0303802,0.0249176,0.0748596,0.121086,0.387577,0.203106,0.282215,-1.127,-0.0285606,0.0409737,0.0778999,0.106304,0.145668,0.211456,0.265442
0,J-464,0.372646,0.318073,0.265835,0.21384,0.189346,0.190144,-0.0710297,-0.0469017,0.0393753,0.105328,0.162312,0.212589,0.258781,0.30249,0.355522,0.207111,0.259666,0.275635,0.0584297,0.108456,0.127594,0.152729,0.240257,0.357727,0.438354
0,J-465,0.342209,0.305244,0.271614,0.23246,0.210899,-1.16406,-0.204979,-0.226898,-0.125465,-0.0443268,0.0284729,0.0928955,0.15152,0.205978,0.664864,0.362846,0.458382,-1.14626,-0.0360641,0.0527191,0.108772,0.153923,0.21032,0.280472,0.352188
0,J-481,0.189167,0.17765,0.16729,0.151234,0.151829,-1.26548,-0.275837,-0.277653,-0.179043,-0.102013,-0.0348587,0.0235558,0.0758324,0.122185,0.403049,0.225128,0.268116,0.286762,-0.0157318,0.064827,0.105499,0.13266,0.12957,0.18187,0.230331
0,J-492,0.213013,0.194118,0.178265,0.158787,0.153637,0.165775,-0.187099,-0.194,-0.117405,-0.054615,0.00335693,0.0542336,0.100327,0.142979,0.296879,0.158699,0.218643,0.242592,0.0144882,0.0688629,0.097332,0.122246,0.163498,0.231659,0.281944
0,J-525,0.183186,0.169994,0.158031,0.140205,0.13316,0.151485,-0.208183,-0.213371,-0.139351,-0.0809746,-0.0226326,0.0276871,0.0720444,0.115707,0.27475,0.171886,0.222252,0.241547,0.0259018,0.0792122,0.105217,0.120705,0.139511,0.203617,0.248806
0,J-526,0.203239,0.190765,0.179214,0.161625,0.159485,-1.33583,-0.328468,-0.365196,-0.267723,-0.188156,-0.113846,-0.0490417,0.00868988,0.0625229,0.608139,0.329033,0.431316,-1.23373,-0.0880203,-0.00469971,0.0464096,0.0771561,0.103516,0.15094,0.207436
0,J-533,0.139549,0.138123,0.135975,0.134315,0.133911,0.135857,0.16795,0.191605,0.212994,0.233673,0.254009,0.274635,0.295715,0.317913,0.274944,0.24408,0.278858,0.315514,0.269329,0.265347,0.259384,0.261669,0.311115,0.381805,0.426552
0,J-534,0.196754,0.185043,0.172867,0.161751,0.153564,0.149971,0.177635,0.20433,0.229721,0.253372,0.276199,0.299171,0.322601,0.347397,0.289207,0.241814,0.294327,0.341354,0.265869,0.262451,0.25724,0.263046,0.33107,0.422386,0.476921
0,J-544,3.27034,3.09832,2.96908,2.88153,2.84786,1.78281,2.78291,3.01679,3.23671,3.37218,3.47768,3.56482,3.64394,3.71707,3.6202,3.38286,3.3433,3.27658,3.19035,3.3373,3.39013,3.39204,3.29417,3.45453,3.64277
0,J-545,5.31026,5.05948,4.86958,4.74256,4.68601,3.61622,4.7069,5.01573,5.27909,5.44551,5.57684,5.68837,5.79221,5.8928,5.71523,5.39554,5.30151,3.89788,5.1084,5.28345,5.35032,5.35637,5.28098,5.54856,5.84174
0,J-548,0.430878,0.378235,0.327812,0.276466,0.241211,-0.76767,-0.0191803,-0.00719452,0.0741501,0.138191,0.194298,0.245216,0.293182,0.34008,0.524551,0.311966,0.432693,-0.880356,0.0270767,0.108681,0.152458,0.159897,0.293694,0.43351,0.528145
0,J-59,0.47718,0.40815,0.345726,0.290436,0.252617,0.231956,0.138832,0.17659,0.237732,0.285133,0.326302,0.363991,0.400177,0.436798,0.41243,0.290451,0.390373,0.483398,0.212845,0.253876,0.283447,0.260849,0.367622,0.516373,0.621834
0,J-60,0.480347,0.416763,0.35537,0.296104,0.250252,0.215858,0.134262,0.173965,0.236794,0.28656,0.330383,0.371246,0.410912,0.451614,0.393158,0.224831,0.339668,0.422516,0.138046,0.174248,0.208443,0.189133,0.36689,0.541893,0.643921
0,J-601,0.243683,0.222084,0.202682,0.177822,0.172169,-1.21825,-0.250782,-0.270756,-0.173042,-0.0925903,-0.0223236,0.0390091,0.0940552,0.143333,0.500584,0.277744,0.32259,-1.12737,-0.0226097,0.0605469,0.106522,0.138004,0.158745,0.218941,0.275742
0,J-608,3.62243,3.43304,3.29029,3.19394,3.15416,3.16457,3.12379,3.37266,3.59471,3.73335,3.84206,3.93311,4.01676,4.09583,3.93462,3.69395,3.63223,3.54649,3.51172,3.65553,3.70693,3.70964,3.63113,3.82565,4.04047
0,J-61,0.109718,0.119545,0.128342,0.13707,0.145782,0.154968,0.192459,0.218048,0.241318,0.264465,0.287514,0.310898,0.334702,0.359451,0.328232,0.30545,0.325752,0.358788,0.330055,0.327034,0.3218,0.320175,0.361435,0.424736,0.468735
0,J-62,0.117973,0.128593,0.138206,0.147835,0.157524,0.167786,0.207901,0.235527,0.260674,0.285683,0.31057,0.335808,0.361496,0.388176,0.355034,0.33049,0.352882,0.388969,0.356819,0.353119,0.347458,0.345634,0.389687,0.457748,0.505211
0,J-636,0.416039,0.363899,0.312294,0.26413,0.223785,0.191879,0.234009,0.277557,0.316612,0.350151,0.380905,0.411209,0.441933,0.475174,0.35733,0.250931,0.368042,0.451424,0.268112,0.260895,0.262848,0.244621,0.392815,0.559845,0.654045
0,J-645,0.21888,0.1992,0.18066,0.157787,0.147743,0.150795,-0.130821,-0.130119,-0.0627365,-0.00795746,0.0406761,0.0844002,0.12487,0.163025,0.27058,0.156155,0.208511,0.241982,0.0160446,0.0707436,0.0933952,0.109138,0.165276,0.251751,0.307869
0,J-646,0.208382,0.190163,0.172916,0.151123,0.142036,0.146187,-0.138718,-0.139332,-0.0729141,-0.0186768,0.0296097,0.0730743,0.113312,0.151245,0.262161,0.153629,0.207737,0.239597,0.0152626,0.066761,0.0871658,0.102581,0.156136,0.241104,0.295738
0,J-648,0.230949,0.207306,0.1847,0.158306,0.147537,0.152161,-0.128803,-0.124973,-0.0568237,-0.00157166,0.0473785,0.0914078,0.132217,0.170868,0.269501,0.163475,0.218727,0.255249,0.0231018,0.0762482,0.0954857,0.108601,0.162971,0.256462,0.316528
0,J-654,0.262627,0.235466,0.209641,0.180092,0.162487,0.160118,-0.116283,-0.107052,-0.033062,0.0259171,0.0777092,0.123981,0.166679,0.206921,0.303596,0.170414,0.217525,0.246368,0.0245094,0.0780258,0.09758,0.115433,0.184906,0.283249,0.347176
0,J-657,0.175282,0.165928,0.15789,0.143623,0.143982,-1.27869,-0.275654,-0.290421,-0.201805,-0.129543,-0.0640755,-0.00686264,0.0445633,0.091011,0.377537,0.200527,0.262043,0.283184,-0.0339088,0.0363312,0.0739326,0.101036,0.120235,0.174633,0.221924
0,J-658,0.277576,0.246044,0.216057,0.184475,0.167156,0.165585,-0.110035,-0.0985527,-0.0234489,0.0361214,0.0883102,0.134892,0.177883,0.218494,0.307781,0.177608,0.22435,0.250553,0.0326424,0.0850792,0.104145,0.121193,0.190777,0.292183,0.35907
0,J-665,0.395844,0.346809,0.2985,0.253525,0.216522,0.189125,0.221718,0.26384,0.303452,0.336945,0.367531,0.397369,0.427422,0.459587,0.350189,0.23716,0.353149,0.431808,0.258728,0.247818,0.233894,0.253166,0.385994,0.541687,0.63063
0,J-669,0.537998,0.451851,0.369408,0.314507,0.287468,0.28928,0.0463905,0.0900269,0.186836,0.25882,0.318764,0.370903,0.419136,0.466331,0.485405,0.333015,0.378654,0.386978,0.187332,0.241714,0.262852,0.289425,0.358932,0.484505,0.60405
0,J-689,6.60371,6.4413,6.31147,6.2241,6.17809,6.16954,6.44667,6.73182,6.92802,7.05854,7.16669,7.26414,7.35925,7.45572,7.14047,6.95952,6.92248,6.85061,6.87946,6.94719,6.97229,6.93562,6.92258,7.1884,7.45269
0,J-693,0.230034,0.210075,0.193439,0.173538,0.168106,0.180027,-0.169147,-0.175083,-0.0984459,-0.0356827,0.0222282,0.0730782,0.119179,0.1619,0.314487,0.175556,0.234539,0.257401,0.0303612,0.0848389,0.113373,0.138226,0.179585,0.248657,0.300014
0,J-702,0.649853,0.558411,0.471046,0.413261,0.384438,0.385426,0.153328,0.203712,0.30378,0.378036,0.43935,0.492859,0.542519,0.591305,0.596306,0.439899,0.480209,0.483257,0.292961,0.348591,0.3703,0.397118,0.467926,0.601868,0.728806
0,J-730,0.278141,0.257397,0.236824,0.218246,0.203812,0.195133,0.228462,0.260273,0.288456,0.312992,0.336002,0.358788,0.381916,0.406433,0.33683,0.28104,0.343346,0.392654,0.305676,0.30069,0.290558,0.297489,0.371151,0.469185,0.528091
0,J-731,0.266983,0.243645,0.220032,0.198273,0.180908,0.169777,0.207542,0.240753,0.270737,0.297905,0.323738,0.349571,0.375908,0.403999,0.324219,0.257179,0.333473,0.393555,0.286446,0.278618,0.26857,0.275742,0.368607,0.484795,0.552681
0,J-732,7.00368,6.83712,6.70492,6.61676,6.57172,6.56631,6.84775,7.14429,7.35048,7.48631,7.59823,7.69833,7.79557,7.89349,7.57001,7.37186,7.33849,7.26648,7.29792,7.36309,7.37354,7.36903,7.3451,7.60776,7.8736
0,J-759,0.463081,0.40863,0.354813,0.304657,0.26268,0.229401,0.274963,0.320801,0.361603,0.396622,0.428734,0.460365,0.492439,0.52713,0.40374,0.29306,0.413734,0.499657,0.310371,0.303207,0.305649,0.287086,0.440132,0.614136,0.712479
