 ,0,900,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900,10800,11700,12600,13500,14400,15300,16200,17100,18000,18900,19800,20700,21600,22500,23400,24300,25200,26100,27000,27900,28800,29700,30600,31500,32400,33300,34200,35100,36000,36900,37800,38700,39600,40500,41400,42300,43200,44100,45000,45900,46800,47700,48600,49500,50400,51300,52200,53100,54000,54900,55800,56700,57600,58500,59400,60300,61200,62100,63000,63900,64800,65700,66600,67500,68400,69300,70200,71100,72000,72900,73800,74700,75600,76500,77400,78300,79200,80100,81000,81900,82800,83700,84600,85500,86400
J-1,0.444829,0.441278,0.437899,0.434749,0.432878,0.430386,0.42822,0.435863,0.443504,0.450057,0.456067,0.461581,0.466634,0.471278,0.475516,0.47941,0.482377,0.48579,0.488968,0.55653,0.555306,0.553119,0.393364,0.394435,0.421706,0.422057,0.422892,0.424348,0.153823,0.150628,0.172594,0.197859,0.282965,0.302034,0.320668,0.338614,0.375176,0.390727,0.405688,0.420058,0.441832,0.454946,0.467649,0.479952,0.491883,0.50345,0.5147,0.52565,0.532552,0.543076,0.553324,0.563314,0.563614,0.573191,0.582537,0.591679,0.597102,0.605964,0.614669,0.623277,0.631796,0.640253,0.648656,-0.639704,-1.26002,-1.77065,-0.858533,-0.741049,-0.647499,-0.561162,-0.486533,-0.421441,-0.350683,-0.301222,-0.261941,-0.230234,-0.183566,-0.16163,-0.14181,-0.124455,-0.103328,-0.0894331,-0.0764727,-0.0645204,-0.0631828,-0.0526584,-0.0424487,-0.0324706,-0.122574,-0.113113,-0.103676,-0.0944919,-0.138261,-0.127934,0.165213,0.135063,0.095323
J-10,0.843794,0.862568,0.880991,0.899093,0.875119,0.892668,0.909899,0.926876,0.921805,0.938262,0.954455,0.970407,0.986097,1.00154,1.01675,1.03173,1.07283,1.08732,1.10158,1.20649,1.55177,1.55895,1.56096,1.564,1.72198,1.72268,1.72432,1.72619,1.7321,1.64685,1.66694,1.69619,1.96844,1.98885,2.00868,2.02758,2.12537,2.14093,2.15577,2.16988,2.21611,2.2286,2.24061,2.25217,2.2633,2.27404,2.28443,2.29448,2.28827,2.29799,2.30738,2.31648,2.28488,2.29372,2.30228,2.31061,2.30356,2.31162,2.31951,2.32727,2.33492,2.34249,1.50214,1.35907,0.716317,0.45149,1.08152,1.18254,1.31939,1.39326,1.45808,1.51448,1.66603,1.70861,1.74283,1.77082,1.91948,1.93883,1.9566,1.97266,2.02139,2.03434,2.04667,2.0582,2.01306,2.02364,2.03393,2.04399,1.48117,1.49261,1.50373,1.51437,1.17635,1.18879,1.45117,1.42864,1.28666
J-100,0.0752422,0.0823536,0.0888175,0.0947968,0.102376,0.108326,0.114299,0.135649,0.143958,0.151607,0.158917,0.165939,0.172718,0.179275,0.185601,0.192235,0.200042,0.207752,0.215174,0.223878,0.231584,0.239748,0.267453,0.278361,0.284239,0.294014,0.30285,0.311226,0.200391,0.204925,0.204198,0.203206,0.204274,0.210209,0.216708,0.223587,0.230605,0.238043,0.245624,0.253329,0.261007,0.268912,0.276909,0.284991,0.293132,0.30134,0.309614,0.317954,0.326434,0.334894,0.343393,0.351947,0.360833,0.369472,0.378128,0.386801,0.395573,0.404274,0.41299,0.421705,0.430435,0.439181,0.447943,0.456722,0.0583297,-0.213359,-0.0454688,-0.0936163,-0.150061,-0.189529,-0.21374,-0.226188,-0.22889,-0.226577,-0.222159,-0.216295,-0.211539,-0.204884,-0.197481,-0.189666,-0.182205,-0.174051,-0.165698,-0.157187,-0.147438,-0.138426,-0.129481,-0.120594,-0.0970807,-0.0845865,-0.0733996,-0.0630233,-0.0424935,-0.0306188,0.0493632,0.0472039,0.0414671
J-101,0.477669,0.485794,0.49353,0.500906,0.509253,0.515952,0.522339,0.530077,0.538005,0.545127,0.552083,0.558848,0.565452,0.571877,0.578123,0.584212,0.589462,0.595227,0.600858,0.369767,0.516743,0.520422,0.456095,0.456638,0.529858,0.529821,0.530343,0.53151,0.392133,0.389573,0.411574,0.436438,0.583764,0.602621,0.621043,0.638731,0.696786,0.712156,0.726962,0.741201,0.771817,0.784825,0.797422,0.809645,0.821511,0.833035,0.844233,0.85514,0.857571,0.868117,0.878378,0.888388,0.877333,0.886941,0.896302,0.905477,0.906638,0.915522,0.924277,0.932913,0.941491,0.949977,0.958435,-0.414152,-0.958236,-1.49465,-0.585037,-0.46057,-0.346164,-0.257107,-0.180653,-0.114533,-0.0141527,0.0375087,0.0785189,0.111572,0.191343,0.214033,0.234603,0.25239,0.282627,0.296887,0.310082,0.322262,0.309205,0.320039,0.330518,0.340705,0.0910041,0.101633,0.111782,0.121331,-0.0221607,-0.0109442,0.319403,0.288302,0.22121
J-102,0.107499,0.118511,0.128748,0.13844,0.146996,0.155755,0.164141,0.110822,0.114716,0.118695,0.122558,0.126374,0.13019,0.134019,0.137821,0.142003,0.147333,0.152674,0.157996,0.163812,0.17035,0.176551,0.191305,0.205425,0.212443,0.220419,0.2281,0.236012,0.0841875,0.104967,0.118782,0.129563,0.148255,0.16027,0.17174,0.182785,0.195714,0.206399,0.216717,0.226743,0.237434,0.247221,0.256815,0.26626,0.275564,0.284774,0.293887,0.302929,0.311551,0.320463,0.329325,0.33816,0.346363,0.354789,0.36325,0.371746,0.380011,0.388427,0.39687,0.405364,0.413892,0.422448,0.431038,0.439654,-1.48705,-1.82656,-0.308168,-0.314649,-0.369063,-0.397015,-0.404248,-0.399841,-0.393301,-0.382993,-0.372887,-0.362877,-0.354433,-0.34487,-0.334714,-0.324541,-0.31471,-0.304728,-0.295089,-0.285635,-0.275787,-0.266445,-0.257149,-0.247875,-0.231586,-0.217042,-0.204717,-0.193747,-0.176224,-0.164131,-0.00315885,0.0108873,-0.0183205
J-103,0.100949,0.111999,0.122275,0.132004,0.140619,0.149408,0.157826,0.104335,0.10824,0.112222,0.116086,0.119902,0.123718,0.127531,0.131348,0.135529,0.140859,0.146183,0.151513,0.157336,0.163846,0.170039,0.184872,0.198963,0.205935,0.213863,0.221476,0.229334,0.0776353,0.0983558,0.112166,0.122944,0.141603,0.153641,0.165129,0.176185,0.189128,0.199838,0.210182,0.220228,0.230935,0.240753,0.250373,0.259834,0.269176,0.278405,0.287553,0.296619,0.305274,0.314217,0.323109,0.331975,0.340205,0.34867,0.357163,0.365684,0.373978,0.382418,0.390903,0.399422,0.407969,0.416569,0.425187,0.433842,-1.52653,-1.86647,-0.31423,-0.31939,-0.374385,-0.402646,-0.410157,-0.405778,-0.399315,-0.389012,-0.37889,-0.368873,-0.360469,-0.350906,-0.340737,-0.33055,-0.320731,-0.31074,-0.301109,-0.291649,-0.281794,-0.272447,-0.263147,-0.253878,-0.237442,-0.222907,-0.210595,-0.199626,-0.182057,-0.169978,-0.0100216,0.00393158,-0.0254423
J-104,0.22453,0.229109,0.233692,0.23899,0.246046,0.255477,0.264823,0.209875,0.224986,0.238691,0.25134,0.262963,0.273633,0.283452,0.292382,0.300574,0.308234,0.315351,0.321824,0.328247,0.333411,0.337995,0.357184,0.363717,0.369241,0.375553,0.38172,0.387883,0.0516226,0.0546296,0.0735484,0.0943387,0.146465,0.162519,0.178358,0.194726,0.219672,0.234471,0.249258,0.263525,0.280209,0.293282,0.305928,0.318147,0.329989,0.341487,0.352648,0.363495,0.372536,0.382868,0.392972,0.402857,0.40884,0.41847,0.427867,0.43705,0.444739,0.453657,0.462448,0.471121,0.479708,0.48824,0.496717,-2.66337,-3.04766,-3.71266,-0.870993,-0.778744,-0.717379,-0.642401,-0.57448,-0.515989,-0.4722,-0.42527,-0.387792,-0.357419,-0.336632,-0.31433,-0.294711,-0.277952,-0.264095,-0.250424,-0.237978,-0.226478,-0.214839,-0.204811,-0.194995,-0.185357,-0.171029,-0.160572,-0.150224,-0.140327,-0.123972,-0.11289,0.0906818,0.0637645,0.0456094
J-105,0.339091,0.353637,0.367083,0.379397,0.388091,0.39837,0.407924,0.335432,0.340515,0.345608,0.349665,0.35295,0.355902,0.358703,0.361351,0.363983,0.368869,0.373205,0.377267,0.375312,0.382351,0.383405,0.322628,0.31545,0.309566,0.301007,0.323315,0.336116,0.149956,0.145039,0.172301,0.214289,0.273197,0.29751,0.317921,0.336043,0.36256,0.378396,0.39308,0.406859,0.424058,0.436746,0.448868,0.460513,0.471755,0.482642,0.493217,0.503529,0.511501,0.521473,0.531265,0.540861,0.546386,0.555073,0.563687,0.572254,0.579222,0.587512,0.595792,0.604067,0.612349,0.62065,0.628955,0.637277,-1.30071,-1.91647,-0.5499,-0.509486,-0.499555,-0.477939,-0.456058,-0.436119,-0.410945,-0.376401,-0.347872,-0.32394,-0.301561,-0.270533,-0.246299,-0.227354,-0.21034,-0.194084,-0.17998,-0.167331,-0.158562,-0.149926,-0.141085,-0.132113,-0.16516,-0.176619,-0.181843,-0.173274,-0.166001,-0.147243,0.104414,0.109267,0.0797406
J-106,0.126709,0.142192,0.156259,0.169316,0.183372,0.194612,0.205196,0.107982,0.117418,0.124417,0.13037,0.135536,0.140042,0.144196,0.148316,0.152542,0.156173,0.16212,0.16779,0.175284,0.181154,0.186164,0.199389,0.20841,0.216298,0.227614,0.241847,0.253607,0.053939,0.0602934,0.0807483,0.098975,0.136139,0.15088,0.165039,0.17867,0.198194,0.210589,0.222578,0.234203,0.248212,0.259198,0.269957,0.280481,0.290824,0.300984,0.310969,0.320816,0.329174,0.339053,0.348741,0.358285,0.365545,0.374615,0.38359,0.392495,0.400458,0.4092,0.417903,0.426573,0.435234,0.443876,0.452533,0.461186,-1.9988,-2.51476,-0.682168,-0.617167,-0.610488,-0.58742,-0.559705,-0.536406,-0.505075,-0.474984,-0.449688,-0.428122,-0.407206,-0.390227,-0.374645,-0.360794,-0.347414,-0.335417,-0.324194,-0.313534,-0.304728,-0.294561,-0.284565,-0.274677,-0.279353,-0.26589,-0.254255,-0.245968,-0.227248,-0.209275,0.0273842,0.0320856,0.00620747
J-107,0.322488,0.343648,0.362051,0.378319,0.391106,0.403422,0.414505,0.348407,0.347976,0.346226,0.344238,0.342173,0.34011,0.338129,0.336405,0.335144,0.333207,0.334304,0.335572,0.334271,0.329309,0.326782,0.244073,0.249487,0.264993,0.259057,0.27746,0.30678,0.143247,0.136214,0.139178,0.155159,0.191151,0.211384,0.234572,0.258451,0.279109,0.299987,0.318372,0.334924,0.350129,0.365083,0.379007,0.392087,0.404488,0.416305,0.427631,0.43856,0.449078,0.459121,0.468968,0.478621,0.489095,0.497187,0.505312,0.513468,0.521932,0.529706,0.537556,0.545491,0.553489,0.561549,0.569673,-0.992466,-1.27867,-1.77385,-0.571011,-0.542892,-0.533575,-0.504685,-0.472384,-0.444142,-0.407703,-0.38327,-0.362528,-0.344536,-0.319408,-0.306494,-0.294139,-0.282557,-0.269014,-0.259051,-0.249303,-0.239773,-0.23472,-0.224249,-0.214063,-0.204119,-0.233695,-0.214494,-0.203993,-0.199634,-0.204967,-0.167072,0.0524491,0.0716466,0.0375411
