leak_area_number,ID,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
0,J-1,0.327301,0.314552,0.337303,0.361603,0.378105,0.451744,0.410599,0.0873032,0.316666,0.363457,0.40316,0.434792,0.461922,0.482552,0.506241,0.530632,-1.92936,-0.510582,-0.204597,-0.149849,-0.112701,-0.0861664,-0.143158,-0.161201,0.23317
0,J-140,0.181419,0.181477,0.180828,0.200832,0.215137,0.243896,0.232536,0.0441589,0.202278,0.234837,0.262318,0.28426,0.303349,0.318081,0.334568,0.351326,-1.57194,-0.442722,-0.195656,-0.158131,-0.132195,-0.11224,-0.15004,-0.170303,0.158974
0,J-141,0.154625,0.155251,0.154369,0.17271,0.185928,0.213062,0.208954,0.0372963,0.179962,0.209332,0.234131,0.253975,0.271275,0.284702,0.299629,0.314735,-1.5049,-0.414349,-0.184071,-0.150478,-0.127007,-0.108517,-0.140125,-0.156487,0.145107
0,J-143,0.152996,0.153568,0.152775,0.17091,0.183987,0.210815,0.206383,0.0366096,0.178024,0.207088,0.231613,0.251228,0.268326,0.28159,0.296345,0.311272,-1.49697,-0.410812,-0.182308,-0.149036,-0.125801,-0.107498,-0.138905,-0.155025,0.143314
0,J-145,0.218609,0.218025,0.226654,0.247509,0.262608,0.303856,0.27253,0.0660934,0.244514,0.280937,0.311325,0.335281,0.355804,0.371269,0.389126,0.407516,-1.66021,-0.444908,-0.181023,-0.137932,-0.109055,-0.0881424,-0.139709,-0.174179,0.184242
0,J-166,0.115532,0.12991,0.145515,0.168167,0.186611,0.244152,0.279495,0.046814,0.229546,0.265663,0.29657,0.321358,0.342957,0.359634,0.378357,0.39743,-1.65775,-0.474213,-0.208847,-0.166771,-0.137779,-0.115646,-0.159088,-0.181534,0.177132
0,J-18,0.070755,0.0904541,0.112247,0.135014,0.154163,0.222576,0.27034,0.0513763,0.225212,0.259239,0.287987,0.310772,0.330463,0.345417,0.362534,0.380093,-1.59253,-0.431934,-0.178444,-0.13813,-0.110878,-0.0906372,-0.13623,-0.161026,0.17012
0,J-196,0.143112,0.182831,0.211296,0.238281,0.264717,0.323368,0.340912,0.153915,0.343796,0.381546,0.410198,0.430538,0.446812,0.456745,0.471104,0.487122,-1.44731,-0.28334,-0.0256348,0.0246201,0.0540237,0.0697327,-0.0255737,-0.08358,0.219818
0,J-2,0.292824,0.290405,0.303745,0.327576,0.344982,0.401161,0.381973,0.150482,0.338882,0.37603,0.407143,0.431679,0.452774,0.468674,0.487206,0.506264,-1.64731,-0.390152,-0.115677,-0.0697403,-0.0386963,-0.015564,-0.0660934,-0.0950012,0.276169
0,J-219,0.0501595,0.0871086,0.122322,0.153606,0.179295,0.255623,0.321877,0.106285,0.296799,0.333885,0.363579,0.385803,0.404274,0.416901,0.433037,0.450344,-1.52593,-0.35873,-0.0976791,-0.049942,-0.0203781,-0.00231552,-0.0799332,-0.121017,0.207794
0,J-221,0.140324,0.146244,0.14666,0.16787,0.183811,0.220234,0.243256,0.0300522,0.195885,0.229584,0.25882,0.282707,0.303799,0.320599,0.338795,0.357037,-1.63682,-0.490002,-0.233269,-0.195572,-0.168472,-0.146225,-0.175896,-0.189011,0.161972
0,J-232,0.134331,0.145576,0.154606,0.177662,0.195881,0.246147,0.280876,0.0375977,0.224899,0.262184,0.294548,0.320877,0.344025,0.362274,0.382309,0.402519,-1.71133,-0.510986,-0.239975,-0.197533,-0.167519,-0.143631,-0.181549,-0.199776,0.179398
0,J-233,0.0548134,0.0756073,0.0983315,0.120811,0.139866,0.210438,0.262962,0.0514984,0.219715,0.252655,0.280373,0.302288,0.321186,0.335499,0.351944,0.368824,-1.56715,-0.417728,-0.170227,-0.131149,-0.104805,-0.0852623,-0.129875,-0.154411,0.166283
0,J-237,0.126923,0.136009,0.141716,0.163059,0.179722,0.223652,0.255287,0.032135,0.204094,0.238632,0.2686,0.293022,0.314537,0.331589,0.350182,0.368866,-1.65605,-0.492142,-0.231735,-0.192802,-0.165024,-0.142487,-0.17485,-0.189987,0.166504
0,J-24,0.178158,0.224739,0.257305,0.288334,0.319164,0.377441,0.397598,0.182953,0.400543,0.44416,0.477043,0.50013,0.518387,0.529068,0.545135,0.563354,-1.50121,-0.287498,-0.00686646,0.0518723,0.0855026,0.101852,-0.0153503,-0.0812531,0.255501
0,J-243,0.131187,0.137798,0.138023,0.1591,0.175026,0.211742,0.239563,0.0255737,0.190216,0.223526,0.252583,0.276405,0.297497,0.314381,0.332569,0.35075,-1.63682,-0.492966,-0.237473,-0.200405,-0.173561,-0.151253,-0.178749,-0.190483,0.159599
0,J-25,0.284882,0.351273,0.396614,0.439629,0.482117,0.55172,0.58934,0.285271,0.581749,0.640045,0.68531,0.717506,0.743088,0.758209,0.780716,0.806244,-1.69563,-0.306129,0.0353851,0.116623,0.162827,0.183434,0.0212173,-0.0673294,0.374695
0,J-276,0.0885239,0.114052,0.138454,0.162136,0.182869,0.265442,0.321495,0.0817337,0.280617,0.319565,0.351791,0.376785,0.398048,0.413551,0.432106,0.451508,-1.64417,-0.428802,-0.156212,-0.108696,-0.0778885,-0.0569229,-0.122009,-0.159233,0.198135
0,J-277,0.0893631,0.115192,0.1399,0.163868,0.18483,0.268555,0.325386,0.082756,0.283844,0.323235,0.355843,0.381149,0.402679,0.418388,0.437172,0.456818,-1.65343,-0.432404,-0.158081,-0.110046,-0.0788879,-0.0577011,-0.12352,-0.161194,0.200493
0,J-28,0.089035,0.104851,0.131405,0.157444,0.17717,0.305599,0.303154,0.080101,0.276558,0.315559,0.34713,0.371101,0.391197,0.405296,0.422775,0.441338,-1.59763,-0.409813,-0.141098,-0.0925064,-0.0619736,-0.0428619,-0.119141,-0.158234,0.190613
0,J-281,0.0477638,0.0703087,0.0938263,0.116379,0.135792,0.2118,0.264656,0.0560379,0.224323,0.257328,0.284904,0.306572,0.32518,0.339138,0.35535,0.372063,-1.55818,-0.40757,-0.16098,-0.121582,-0.0952835,-0.0761032,-0.123249,-0.149864,0.167023
0,J-29,0.0951004,0.119736,0.151485,0.180931,0.203888,0.316483,0.322395,0.0945053,0.294319,0.333473,0.365082,0.388931,0.408844,0.422653,0.440002,0.458542,-1.58245,-0.392654,-0.122658,-0.0730362,-0.0421143,-0.0230942,-0.102821,-0.143639,0.203949
0,J-30,0.113365,0.126911,0.141678,0.163174,0.180767,0.235565,0.272827,0.0558929,0.226509,0.260139,0.288803,0.311752,0.331741,0.347176,0.364529,0.382183,-1.59731,-0.441078,-0.186306,-0.146858,-0.119633,-0.0985985,-0.138336,-0.158699,0.178841
0,J-306,0.227242,0.230206,0.236423,0.260674,0.278397,0.321014,0.303024,0.0577087,0.25882,0.299461,0.333855,0.361252,0.385025,0.403183,0.423737,0.444824,-1.7275,-0.503517,-0.222961,-0.17572,-0.143517,-0.119682,-0.174927,-0.198357,0.196793
0,J-34,0.252003,0.249222,0.261002,0.283539,0.299591,0.351212,0.313103,0.0754242,0.272072,0.312172,0.345825,0.372467,0.39534,0.412636,0.432549,0.453049,-1.74126,-0.471718,-0.193596,-0.146255,-0.114426,-0.0914612,-0.14682,-0.179787,0.20533
0,J-35,0.0544014,0.0864258,0.118484,0.147236,0.170734,0.248043,0.299553,0.0973129,0.277882,0.313126,0.341286,0.362362,0.379887,0.391891,0.407204,0.423588,-1.49651,-0.349831,-0.0981522,-0.0529671,-0.02491,-0.00757217,-0.0802803,-0.119888,0.193481
0,J-353,0.329681,0.320045,0.340248,0.362862,0.378357,0.43821,0.382118,0.0976715,0.313072,0.357529,0.394012,0.422165,0.445847,0.462898,0.483559,0.505287,-1.79159,-0.446106,-0.156738,-0.103989,-0.0695648,-0.0465469,-0.112488,-0.138184,0.219299
0,J-354,0.355415,0.345436,0.366699,0.390404,0.406715,0.470032,0.415207,0.120621,0.342552,0.387962,0.425301,0.454163,0.478447,0.495972,0.517212,0.539551,-1.80153,-0.43779,-0.142441,-0.0880432,-0.0524826,-0.0285873,-0.096077,-0.121933,0.245544
0,J-371,0.101742,0.128437,0.153931,0.178745,0.20052,0.287621,0.350502,0.104637,0.307159,0.346489,0.379089,0.404381,0.425903,0.441628,0.460464,0.480164,-1.64314,-0.416008,-0.140083,-0.0916061,-0.0600815,-0.038414,-0.103836,-0.140953,0.223137
0,J-42,0.156296,0.197979,0.227341,0.255173,0.282478,0.343372,0.356445,0.16256,0.358505,0.397392,0.426907,0.447845,0.464588,0.474758,0.489536,0.506042,-1.45904,-0.283577,-0.0204773,0.031414,0.061718,0.0777702,-0.021347,-0.080307,0.230705
0,J-423,0.236412,0.233013,0.249683,0.26796,0.280983,0.332085,0.289108,0.0818787,0.248234,0.282486,0.309803,0.330452,0.347637,0.359707,0.374725,0.39064,-1.55871,-0.35817,-0.113644,-0.0725327,-0.0461159,-0.0284996,-0.0823441,-0.10474,0.172672
0,J-44,0.0586929,0.0991249,0.137905,0.172283,0.200306,0.285378,0.355873,0.118309,0.325081,0.365089,0.39727,0.42141,0.441483,0.4552,0.472733,0.49157,-1.57485,-0.373886,-0.0991669,-0.0474625,-0.0155029,0.00377655,-0.0812149,-0.124031,0.228249
