 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,0.478113,0.530994,0.561807,0.589124,0.612677,0.63347,1.02142,0.979113,0.951167,0.94329,0.946694,0.96536,0.993349,1.02757,1.05906,1.08869,1.11451,1.13337,1.1545,1.17608,1.21209,1.17289,2.25577,1.4176,1.45352
J-10,0.191491,0.232891,0.264898,0.29539,0.323526,0.349583,0.545084,0.522677,0.485051,0.466687,0.47223,0.502893,0.548709,0.608948,0.653941,0.691808,0.719274,0.722393,0.812564,0.889905,0.940648,0.972725,1.02747,1.13247,1.19
J-100,6.34322,6.31738,6.35564,6.41922,6.50528,6.61029,6.96459,7.16118,7.2967,7.35065,7.40703,7.44908,7.47395,7.47873,7.5083,7.54883,7.60469,7.70403,7.83819,7.9845,8.03759,8.00761,7.58922,7.48346,7.53913
J-101,2.30779,2.28189,2.30358,2.34437,2.40337,2.47874,2.77561,2.9264,3.03326,3.07727,3.12906,3.17237,3.19992,3.20944,3.23941,3.2779,3.32892,3.41974,3.54465,3.68764,3.75293,3.74323,3.39322,3.2895,3.31414
J-102,1.36489,1.61519,1.75527,1.84908,1.93887,2.03716,3.22701,3.06393,2.79833,2.59138,2.5057,2.50926,2.55449,2.64118,2.70041,2.73636,2.738,2.67731,2.64144,2.65317,2.6852,2.71435,3.3181,3.64473,3.77841
J-103,1.37334,1.62916,1.76874,1.86159,1.95102,2.04924,3.23589,3.07414,2.81106,2.60413,2.5169,2.52015,2.5656,2.65312,2.71274,2.74868,2.74973,2.68757,2.65002,2.66063,2.69237,2.72178,3.32899,3.65341,3.78667
J-104,0.518331,0.567423,0.597009,0.623021,0.645055,0.664312,1.03444,0.992524,0.964713,0.956718,0.95978,0.977521,1.00426,1.0371,1.06726,1.09556,1.1201,1.1378,1.15744,1.17749,1.21141,1.21314,2.32701,1.4076,1.44506
J-105,0.597781,0.648643,0.678626,0.704799,0.72684,0.745849,1.1207,1.07594,1.04609,1.03748,1.04061,1.05897,1.08645,1.12024,1.151,1.1798,1.20468,1.2222,1.24164,1.26111,1.29564,1.22144,2.21728,1.51047,1.54506
J-106,0.273234,0.271088,0.296049,0.323448,0.350118,0.3746,0.585367,0.581883,0.54605,0.506481,0.52602,0.566481,0.603655,0.638821,0.678325,0.71619,0.751547,0.795789,0.850671,0.915247,0.965047,0.998905,1.032,1.1072,1.16996
J-107,16.8827,16.4521,16.3377,16.452,16.8159,17.4121,18.5818,20.3926,21.6111,21.9623,22.1054,22.1127,22.0544,21.878,21.8432,21.8872,22.0464,22.4536,23.0781,23.7992,23.9729,23.6353,20.4717,18.7598,18.312
